stage,record_index,title,human_decision,final_decision,error_type,readable_category,manual_note,vote_split,mean_include_probability
L1,160,Fructo-oligosaccharides and colonic function,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.3683333333333333
L1,167,"Soy-polysaccharide fiber: Effect on diarrhea in tube-fed, head-injured patients",Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",5 include / 1 exclude,0.6733333333333333
L1,168,Dietary fiber and bowel function in tube-fed patients,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",2 include / 4 exclude,0.2883333333333333
L1,179,Fiber-fortified feedings in immobile patients,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",4 include / 2 exclude,0.5666666666666668
L1,199,Synbiotic therapy reduces the pathological gram-negative rods caused by an increased acetic acid concentration in the gut,Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,3 include / 0 exclude,0.9133333333333334
L1,200,Synbiotic therapy reduces the colonization of pseudomonas aeruginosa in the lower respiratory tract in patients on long term mechanical ventilation support,Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,3 include / 0 exclude,0.8933333333333332
L1,202,Effect of a bulk-forming cathartic on diarrhea in tube-fed patients,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",5 include / 1 exclude,0.6466666666666666
L1,211,Fiber supplementation of enteral formulas: Effects on the bioavailability of major nutrients and gastrointestinal tolerance,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.43
L1,214,Reduction in diarrhea incidence by soluble fiber in patients receiving total or supplemental enteral nutrition,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,5 include / 1 exclude,0.6466666666666666
L1,215,The beneficial effects of PHGG in enteral nutrition in medical and surgical patients,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",3 include / 3 exclude,0.37
L1,216,The effects of partially hydrolyzed guar gum (PHGG) added to enteral nutrition in medical and surgical patients,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",4 include / 2 exclude,0.49
L1,222,"Gastrointestinal tolerance and plasma status of carotenoids, EPA and DHA with a fiber-enriched tube feed in hospitalized patients initiated on tube nutrition: Randomized controlled trial",Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",5 include / 1 exclude,0.64
L1,239,The effect of enteral fibre-containing feeds on stool parameters in the post-surgical period,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",3 include / 3 exclude,0.4366666666666667
L1,243,Benefits of dietary fiber in clinical nutrition,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,2 include / 4 exclude,0.3033333333333333
L1,246,"Estimation and interpretation of fermentation in the Gut: Coupling results from a 24 h batch in vitro system with fecal measurements from a human intervention feeding study using fructo-oligosaccharides, inulin, gum acacia, and pea fiber",Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,2 include / 4 exclude,0.255
L1,277,Role of enteral ebselen and ethylhydroxyethyl cellulose in pancreatitis-associated multiple-organ dysfunction in humans,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",4 include / 2 exclude,0.515
L1,283,Faecal microbiota and short-chain fatty acids in patients receiving enteral nutrition with standard or fructo-oligosaccharides and fibre-enriched formulas,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.4383333333333333
L1,285,Use of a fiber-containing enteral formulation in an AIDS patient,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",4 include / 2 exclude,0.4583333333333333
L1,289,Clinical Effects of a Pectin-Containing Oligomeric Formula in Tube Feeding Patients: A Multicenter Randomized Clinical Trial,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.38
L1,315,A case of tracheal obstruction caused by reflux and aspiration of semi-solid nutrients via the nasogastric tube,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,4 include / 2 exclude,0.53
L1,327,"The clinical trial of viscosity modifier, REF-P1, to prevent complications of small bowel feeding",Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,4 include / 2 exclude,0.515
L1,329,"Tube feeding, the microbiota, and Clostridium difficile infection",Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,2 include / 4 exclude,0.27
L1,330,"Synbiotic control of inflammation and infection in severe acute pancreatitis: A prospective, randomized, double blind study",Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,4 include / 2 exclude,0.6233333333333334
L1,331,Prebiotic ingestion does not improve gastrointestinal barrier function in burn patients,Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,4 include / 2 exclude,0.5616666666666666
L1,336,Dietary fiber: a brief review and potential application to enteral nutrition,Title_abstract_exclude,include,false_positive,Review-like paper intentionally forwarded by the liberal L1 policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.,2 include / 4 exclude,0.29
L1,346,Moderately high-protein enteral formula improved retinol-binding protein in tube-fed patients: A multicentre open study,Title_abstract_exclude,include,false_positive,Non-ICU or weakly specified population,"Enteral-fiber language is present, but ICU/critical-care population is absent, mixed, or too weakly stated.",3 include / 3 exclude,0.4516666666666666
L1,354,"Prebiotics, probiotics, synbiotics in surgery-Are they only trendy, truly effective or even dangerous?",Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,3 include / 3 exclude,0.4166666666666667
L1,387,Effect of microbiological and immunological enteral nutrition on intestinal function and immune status in the patients with long-term use of antibiotics,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 0 exclude,0.7666666666666666
L1,401,Partially hydrolyzed guar gum: Clinical nutrition uses,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,3 include / 3 exclude,0.445
L1,404,Inulin as the soluble fiber in liquid enteral nutrition,Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,4 include / 2 exclude,0.5933333333333334
L1,417,Effects of a novel method for enteral nutrition infusion involving a viscosity-regulating pectin solution: A multicenter randomized controlled trial,Title_abstract_exclude,include,false_positive,Enteral-fiber topic match without a clear ICU population match,Study looks relevant to enteral fiber safety/tolerance but not clearly to the Fiber review population.,4 include / 2 exclude,0.5466666666666667
L1,449,Enteral-tube-feeding diarrhoea: Manipulating the colonic microbiota with probiotics and prebiotics - BAPEN Symposium 2 on 'Pre- and probiotics',Title_abstract_exclude,include,false_positive,Review-like paper intentionally forwarded by the liberal L1 policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.,2 include / 4 exclude,0.3216666666666667
L1,450,Enteral-tube-feeding diarrhoea: manipulating the colonic microbiota with probiotics and prebiotics,Title_abstract_exclude,include,false_positive,Prebiotic or synbiotic exposure interpreted as in-scope fiber,Models interpreted prebiotic or synbiotic exposure as eligible fiber-related intervention.,3 include / 3 exclude,0.44
L1,455,"Mechanisms, prevention, and management of diarrhea in enteral nutrition",Title_abstract_exclude,include,false_positive,Review-like paper intentionally forwarded by the liberal L1 policy,L1 policy forwards potentially on-target review-like papers instead of excluding aggressively.,2 include / 4 exclude,0.2733333333333334
